Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units,pChEMBL Value,R_squared,Hill_slope,IC50_CI_lower_uM,IC50_CI_upper_uM,Max_Response_Pct,Comment,Molecular Weight,AlogP,#RO5 Violations,Target Name
CHEMBL5441982,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCO2,'=',43.0,nM,7.37,0.997,1.79,0.041,0.045,100.0,,452.54,3.33,0,Replicase polyprotein 1ab
CHEMBL5441979,CC(C)[C@@H](Oc1cc(N)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,'=',67353.0,nM,4.17,0.97,1.05,57.52,78.86,100.0,,347.44,2.55,0,Replicase polyprotein 1ab
CHEMBL5441925,COc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',3682.0,nM,5.43,0.995,1.313,3.333,4.068,100.0,,340.34,1.91,0,Replicase polyprotein 1ab
CHEMBL5441469,CC(C)[C@H](Nc1ncncc1-n1nccn1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,398.49,2.59,0,Replicase polyprotein 1ab
CHEMBL5441889,CC(C)[C@H](Nc1cc(NCC(F)(F)F)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,0.959,1.086,,,100.0,Falls Outside The Dose Series,428.48,3.98,0,Replicase polyprotein 1ab
CHEMBL5441524,CCNC(=O)c1cc2c(N[C@H](c3ccc4c(n3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,'=',110.0,nM,6.96,0.996,1.177,0.1,0.121,100.0,,444.52,2.08,0,Replicase polyprotein 1ab
CHEMBL5441409,COc1ccc([C@@H](Cc2nnn[nH]2)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',9731.0,nM,5.01,0.991,1.192,8.517,11.12,100.0,,364.37,1.19,0,Replicase polyprotein 1ab
CHEMBL5441424,CNC(=O)Cn1cc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,'=',375.0,nM,6.43,0.9,3.798,0.276,0.509,100.0,,507.62,3.1,1,Replicase polyprotein 1ab
CHEMBL5441962,CC(C)[C@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',1621.0,nM,5.79,0.992,1.653,1.449,1.812,100.0,,496.64,2.92,0,Replicase polyprotein 1ab
CHEMBL5441430,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',38.0,nM,7.42,0.998,1.473,0.036,0.04,100.0,,427.53,2.85,0,Replicase polyprotein 1ab
CHEMBL5441551,CS(=O)(=O)NC1CCC(Nc2ccc([C@@H](CC(=O)O)NC(=O)c3ncnc4[nH]ccc34)cc2)CC1,'=',73741.0,nM,4.13,0.972,1.164,64.06,84.89,100.0,,500.58,2.18,1,Replicase polyprotein 1ab
CHEMBL5441857,Cc1cc(C)cc(CS(=O)(=O)Nc2cnc3[nH]ccc3c2)c1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,315.4,3.12,0,Replicase polyprotein 1ab
CHEMBL5441922,Cc1noc(C)c1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',18480.0,nM,4.73,0.979,1.013,15.43,22.14,100.0,,419.49,4.81,0,Replicase polyprotein 1ab
CHEMBL5441942,Cc1ccc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)o1,'=',37565.0,nM,4.42,0.874,0.808,23.99,58.81,100.0,,404.47,5.11,1,Replicase polyprotein 1ab
CHEMBL5441488,O=C(c1ccccc1)N1CCC(c2ccn3ncc(C(=O)N4CCc5nc[nH]c5C4)c3c2)CC1,'>',99500.0,nM,,0.813,1.467,,,100.0,Falls Outside The Dose Series,454.53,3.28,0,Replicase polyprotein 1ab
CHEMBL5441821,O=C(O)C[C@@H](NC(=O)c1nccc2[nH]ncc12)c1ccc(Br)cc1,'=',24194.0,nM,4.62,0.99,1.188,21.72,26.95,100.0,,389.21,2.67,0,Replicase polyprotein 1ab
CHEMBL5441957,Cn1ncc2c(C(=O)N[C@@H](CC(=O)O)c3ccc(Br)cc3)ccnc21,'=',81723.0,nM,4.09,0.927,1.071,63.79,104.69,100.0,,403.24,2.68,0,Replicase polyprotein 1ab
CHEMBL5441796,O=C(O)C[C@@H](NC(=O)c1ccnc(-n2cccc2)c1)c1ccc(Br)cc1,'>',99500.0,nM,,0.812,1.838,,,100.0,Falls Outside The Dose Series,414.26,3.58,0,Replicase polyprotein 1ab
CHEMBL5441695,O=C(O)C[C@@H](NC(=O)c1ccnc2cn[nH]c12)c1ccc(Br)cc1,'=',10309.0,nM,4.99,0.993,1.197,9.196,11.56,100.0,,389.21,2.67,0,Replicase polyprotein 1ab
CHEMBL5442059,O=C(Nc1cccc2c(C(=O)N[C@@H]3c4ccccc4C[C@@H]3C(=O)O)c[nH]c12)NC1CC1,'=',3474.0,nM,5.46,0.996,1.233,3.162,3.817,100.0,,418.45,3.18,0,Replicase polyprotein 1ab
CHEMBL5442059,O=C(Nc1cccc2c(C(=O)N[C@@H]3c4ccccc4C[C@@H]3C(=O)O)c[nH]c12)NC1CC1,'=',3775.0,nM,5.42,0.987,1.059,3.154,4.518,100.0,,418.45,3.18,0,Replicase polyprotein 1ab
CHEMBL5441483,O=C(Nc1cccc2c(C(=O)N[C@@H](C(=O)O)c3ccc4c(c3)OCCO4)c[nH]c12)NC1CC1,'>',99500.0,nM,,0.961,1.125,,,100.0,Falls Outside The Dose Series,450.45,2.78,0,Replicase polyprotein 1ab
CHEMBL5441577,COCc1cc(CNc2ccc([C@@H](CC(=O)O)NC(=O)c3ncnc4[nH]ccc34)cc2)on1,'=',12377.0,nM,4.91,0.974,1.388,10.04,15.26,100.0,,450.46,2.65,0,Replicase polyprotein 1ab
CHEMBL5442088,Cc1[nH]c2ncnc(NC(=O)[C@@H]3CCCc4ncccc43)c2c1C,'>',99500.0,nM,,0.229,0.569,,,100.0,Falls Outside The Dose Series,321.38,3.03,0,Replicase polyprotein 1ab
CHEMBL5441918,O=C(O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,'=',3037.0,nM,5.52,0.997,1.166,2.788,3.308,100.0,,344.76,2.56,0,Replicase polyprotein 1ab
CHEMBL5442046,Cc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',6387.0,nM,5.2,0.991,1.284,5.542,7.361,100.0,,324.34,2.21,0,Replicase polyprotein 1ab
CHEMBL5441599,Cc1[nH]c2ncnc(NC(=O)c3ccnnc3)c2c1C,'>',99500.0,nM,,0.721,3.237,,,100.0,Falls Outside The Dose Series,268.28,1.62,0,Replicase polyprotein 1ab
CHEMBL5441975,O=C(O)C[C@@H](NC(=O)c1cncc2[nH]ccc12)c1ccc(Br)cc1,'=',41309.0,nM,4.38,0.962,1.256,34.42,49.57,100.0,,388.22,3.27,0,Replicase polyprotein 1ab
CHEMBL5441547,NS(=O)(=O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,'>',99500.0,nM,,0.681,0.736,,,100.0,Falls Outside The Dose Series,424.28,1.48,0,Replicase polyprotein 1ab
