Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units,pChEMBL Value,R_squared,Hill_slope,IC50_CI_lower_uM,IC50_CI_upper_uM,Max_Response_Pct,Comment,Molecular Weight,AlogP,#RO5 Violations,Target Name
CHEMBL5441771,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCCC(F)F)cc12)c1ccc2c(c1)OCCO2,'=',1336.0,nM,5.87,0.995,1.39,1.209,1.477,100.0,,445.47,3.92,0,Replicase polyprotein 1ab
CHEMBL5441714,CC(C)[C@@H](Nc1ncnc2[nH]c([C@@]3(O)CCOC3)cc12)c1ccc2c(c1)OCCO2,'=',22962.0,nM,4.64,0.943,1.318,17.38,30.34,100.0,,410.47,3.15,0,Replicase polyprotein 1ab
CHEMBL5441707,CCNC(=O)c1cc2c(N[C@@H](c3cc4c(cc3Cl)OCO4)C(C)C)ncnc2[nH]1,'=',6222.0,nM,5.21,0.961,1.149,4.684,8.264,100.0,,415.88,3.9,0,Replicase polyprotein 1ab
CHEMBL5441754,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC[C@@H]3CCOC3)cc12)c1ccc2c(c1)OCCO2,'=',580.0,nM,6.24,0.991,1.227,0.506,0.665,100.0,,451.53,3.3,0,Replicase polyprotein 1ab
CHEMBL5441893,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCC3=NCCCN3)cc12)c1ccc2c(c1)OCCO2,'=',7822.0,nM,5.11,0.975,1.172,6.154,9.943,100.0,,463.54,2.66,0,Replicase polyprotein 1ab
CHEMBL5441714,CC(C)[C@@H](Nc1ncnc2[nH]c([C@@]3(O)CCOC3)cc12)c1ccc2c(c1)OCCO2,'=',9980.0,nM,5.0,0.981,1.179,8.295,12.01,100.0,,410.47,3.15,0,Replicase polyprotein 1ab
CHEMBL5441400,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',15.0,nM,7.82,0.981,1.673,0.013,0.017,100.0,,475.58,3.76,0,Replicase polyprotein 1ab
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,'=',15.0,nM,7.82,0.975,1.373,0.013,0.017,100.0,,507.62,3.1,1,Replicase polyprotein 1ab
CHEMBL5441605,CC(=O)Nc1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',14574.0,nM,4.84,0.97,0.993,11.54,18.41,100.0,,367.37,1.86,0,Replicase polyprotein 1ab
CHEMBL5441703,O=C(O)[C@@H]1[C@@H](c2ccccc2)CCN1c1ncnc2[nH]ccc12,'>',99500.0,nM,,0.928,1.106,,,100.0,Falls Outside The Dose Series,308.34,2.4,0,Replicase polyprotein 1ab
CHEMBL5442075,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)C(=O)O,'=',15356.0,nM,4.81,0.991,1.245,13.7,17.21,100.0,,234.26,1.48,0,Replicase polyprotein 1ab
CHEMBL5441950,CC(=O)N1CC(NC(=O)c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)C1,'=',2001.0,nM,5.7,0.952,0.954,1.373,2.916,100.0,,464.53,2.5,0,Replicase polyprotein 1ab
CHEMBL5441575,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCC(C)(C)C#N)cc12)c1ccc2c(c1)OCCO2,'=',2104.0,nM,5.68,0.994,1.076,1.855,2.385,100.0,,448.53,3.82,0,Replicase polyprotein 1ab
CHEMBL5442000,CC(C)[C@@H](Nc1cnc2[nH]cnc2c1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,370.48,3.49,0,Replicase polyprotein 1ab
CHEMBL5441513,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)Nc3cn(C)nc3O)cc12)c1ccc2c(c1)OCCO2,'=',611.0,nM,6.21,0.989,1.247,0.523,0.714,100.0,,463.5,3.23,0,Replicase polyprotein 1ab
CHEMBL5441603,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)NC(=O)CO5)C(C)C)ncnc3[nH]2)co1,'=',313.0,nM,6.5,0.979,1.324,0.251,0.39,100.0,,446.51,4.08,0,Replicase polyprotein 1ab
CHEMBL5441569,O=C(O)C[C@@H](NC(=O)c1cccc2cc[nH]c12)c1ccc(Br)cc1,'>',99500.0,nM,,0.85,3.963,,,100.0,Falls Outside The Dose Series,387.23,3.88,0,Replicase polyprotein 1ab
CHEMBL5441543,Cn1cc([C@@H](NC(=O)c2c[nH]c3c(NC(=O)NC4CC4)cccc23)C2CCC2)cn1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,406.49,3.46,0,Replicase polyprotein 1ab
CHEMBL5441955,O=C(N[C@@H](Cc1ccc(Br)cc1)C(=O)O)c1ncnc2[nH]ccc12,'>',99500.0,nM,,0.723,2.396,,,100.0,Falls Outside The Dose Series,389.21,2.15,0,Replicase polyprotein 1ab
CHEMBL5441475,O=C(O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccccc1,'=',4201.0,nM,5.38,0.994,1.328,3.747,4.709,100.0,,310.31,1.9,0,Replicase polyprotein 1ab
CHEMBL5441713,CC(C)[C@@H](NC(=O)c1c[nH]c2c(NC(=O)NC3CC3)cccc12)C(F)F,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,364.4,3.47,0,Replicase polyprotein 1ab
CHEMBL5441831,Cc1[nH]c2ncnc(NC(=O)[C@@H]3Cc4ccccc4CO3)c2c1C,'>',99500.0,nM,,0.832,0.773,,,100.0,Falls Outside The Dose Series,322.37,2.65,0,Replicase polyprotein 1ab
CHEMBL5441867,Cc1[nH]c2ncnc(NC(=O)[C@@H](CC(F)F)C3CCC3)c2c1C,'=',8223.0,nM,5.08,0.978,0.937,6.647,10.17,100.0,,322.36,3.58,0,Replicase polyprotein 1ab
CHEMBL5442063,c1nc(N2CCC[C@@H](Nc3ccc4c(c3)OCCO4)C2)c2cc[nH]c2n1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,351.41,2.81,0,Replicase polyprotein 1ab
CHEMBL5441836,CNS(=O)(=O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc(Br)cc1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,438.31,1.74,0,Replicase polyprotein 1ab
CHEMBL5442157,O=C(O)[C@@H](Nc1ncnc2[nH]ccc12)C1CC(F)(F)C1,'>',99500.0,nM,,0.94,1.046,,,100.0,Falls Outside The Dose Series,282.25,1.87,0,Replicase polyprotein 1ab
CHEMBL5441648,Cc1nnc(Nc2ccc(C(=O)N[C@@H]3c4cccc(O)c4C[C@H]3C(=O)O)cc2)o1,'=',25967.0,nM,4.59,0.976,1.308,22.12,30.48,100.0,,394.39,2.56,0,Replicase polyprotein 1ab
CHEMBL5441409,COc1ccc([C@@H](Cc2nnn[nH]2)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',610.0,nM,6.21,0.998,1.236,0.566,0.657,100.0,,364.37,1.19,0,Replicase polyprotein 1ab
CHEMBL5442116,CC(C)[C@@H](Nc1ncnc2[nH]cc(Br)c12)c1ccc2c(c1)OCCO2,'=',10072.0,nM,5.0,0.97,1.078,7.847,12.93,100.0,,403.28,4.3,0,Replicase polyprotein 1ab
CHEMBL5441538,Cc1nc(C(=O)N[C@@H](CC(=O)O)c2ccc(Br)cc2)c2cc[nH]c2n1,'=',2589.0,nM,5.59,0.995,1.204,2.329,2.879,100.0,,403.24,2.97,0,Replicase polyprotein 1ab
CHEMBL5441538,Cc1nc(C(=O)N[C@@H](CC(=O)O)c2ccc(Br)cc2)c2cc[nH]c2n1,'=',3177.0,nM,5.5,0.99,1.277,2.746,3.675,100.0,,403.24,2.97,0,Replicase polyprotein 1ab
CHEMBL5442121,Cn1ccc2c(C(=O)N[C@@H](CC(=O)O)c3ccc(Br)cc3)ccnc21,'=',33224.0,nM,4.48,0.975,1.001,28.01,39.41,100.0,,402.25,3.28,0,Replicase polyprotein 1ab
CHEMBL5441873,O=C(O)C[C@@H](NC(=O)c1cccc2[nH]ncc12)c1ccc(Br)cc1,'>',99500.0,nM,,0.946,0.995,,,100.0,Falls Outside The Dose Series,388.22,3.27,0,Replicase polyprotein 1ab
CHEMBL5442106,O=C(O)C[C@@H](NC(=O)c1nccc2cc[nH]c12)c1ccc(Br)cc1,'=',29582.0,nM,4.53,0.991,1.547,27.07,32.32,100.0,,388.22,3.27,0,Replicase polyprotein 1ab
CHEMBL5441970,Cc1nc2c(C(=O)N[C@@H](CC(=O)O)c3ccc(Br)cc3)ccnc2[nH]1,'=',20218.0,nM,4.69,0.983,1.071,17.29,23.65,100.0,,403.24,2.97,0,Replicase polyprotein 1ab
CHEMBL5441796,O=C(O)C[C@@H](NC(=O)c1ccnc(-n2cccc2)c1)c1ccc(Br)cc1,'>',99500.0,nM,,0.91,1.602,,,100.0,Falls Outside The Dose Series,414.26,3.58,0,Replicase polyprotein 1ab
CHEMBL5442089,O=C(N[C@@H](C(=O)O)c1ccc(Br)cc1)c1ncnc2[nH]ccc12,'=',62896.0,nM,4.2,0.962,1.071,52.69,75.09,100.0,,375.18,2.28,0,Replicase polyprotein 1ab
CHEMBL5441880,Cc1[nH]c2ncnc(NC(=O)c3ncccc3Cl)c2c1C,'=',49309.0,nM,4.31,0.566,0.5,14.48,167.85,100.0,,301.74,2.88,0,Replicase polyprotein 1ab
CHEMBL5441998,COC[C@@H]1C[C@@H]1CNc1ccc([C@@H](CC(=O)O)NC(=O)c2c[nH]c3ncncc23)cc1,'>',99500.0,nM,,0.869,1.518,,,100.0,Falls Outside The Dose Series,423.47,2.6,0,Replicase polyprotein 1ab
CHEMBL5442005,O=C(Nc1ncnc2c(C(=O)N[C@@H](c3cccs3)C3CCCC3)csc12)NC1CC1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,441.58,4.7,0,Replicase polyprotein 1ab
CHEMBL5441711,O=C(O)C[C@@H](NC(=O)c1cccc2[nH]cnc12)c1ccc(Br)cc1,'=',39188.0,nM,4.41,0.933,1.352,30.43,50.47,100.0,,388.22,3.27,0,Replicase polyprotein 1ab
CHEMBL5441711,O=C(O)C[C@@H](NC(=O)c1cccc2[nH]cnc12)c1ccc(Br)cc1,'=',40323.0,nM,4.39,0.964,1.232,33.66,48.3,100.0,,388.22,3.27,0,Replicase polyprotein 1ab
CHEMBL5441685,O=C(O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccccn1,'=',18188.0,nM,4.74,0.975,1.333,15.17,21.8,100.0,,311.3,1.3,0,Replicase polyprotein 1ab
CHEMBL5441629,CCn1ccc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)n1,'=',1530.0,nM,5.82,0.975,1.0,1.193,1.963,100.0,,418.5,4.42,0,Replicase polyprotein 1ab
CHEMBL5441765,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn(C(C)C)n3)cc12)c1ccc2c(c1)OCCO2,'=',2272.0,nM,5.64,0.951,0.962,1.609,3.208,100.0,,432.53,4.98,0,Replicase polyprotein 1ab
CHEMBL5441847,CC(C)c1n[nH]cc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',2065.0,nM,5.68,0.99,1.313,1.786,2.388,100.0,,432.53,5.05,1,Replicase polyprotein 1ab
CHEMBL5442042,COc1nn(C)cc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',1905.0,nM,5.72,0.998,1.237,1.773,2.047,100.0,,434.5,3.95,0,Replicase polyprotein 1ab
CHEMBL5442039,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4[nH]ncc4c3)cc12)c1ccc2c(c1)OCCO2,'=',19662.0,nM,4.71,0.965,0.975,15.76,24.54,100.0,,440.51,5.08,1,Replicase polyprotein 1ab
CHEMBL5441657,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(CN4CCCS4(=O)=O)c3)cc12)c1ccc2c(c1)OCCO2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,533.65,4.74,1,Replicase polyprotein 1ab
CHEMBL5442027,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4nccn4c3)cc12)c1ccc2c(c1)OCCO2,'=',1136.0,nM,5.95,0.956,1.12,0.832,1.55,100.0,,440.51,4.85,0,Replicase polyprotein 1ab
CHEMBL5442153,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C(C)C)n3)cc12)c1ccc2c(c1)OCCO2,'=',1697.0,nM,5.77,0.995,1.186,1.529,1.885,100.0,,433.52,4.38,0,Replicase polyprotein 1ab
CHEMBL5441724,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(C(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,'=',746.0,nM,6.13,0.993,1.238,0.655,0.848,100.0,,472.55,4.3,0,Replicase polyprotein 1ab
CHEMBL5441724,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(C(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,'=',819.0,nM,6.09,0.991,1.213,0.713,0.94,100.0,,472.55,4.3,0,Replicase polyprotein 1ab
CHEMBL5441587,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc[nH]c3)cc12)c1ccc2c(c1)OCCO2,'=',5342.0,nM,5.27,0.972,1.351,4.183,6.821,100.0,,389.46,4.53,0,Replicase polyprotein 1ab
CHEMBL5441869,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,'=',164.0,nM,6.79,0.973,1.22,0.128,0.211,100.0,,394.44,2.46,0,Replicase polyprotein 1ab
CHEMBL5441625,Cc1noc2ncc(-c3cc4c(N[C@@H](c5ccc6c(c5)OCCO6)C(C)C)ncnc4[nH]3)cc12,'=',3732.0,nM,5.43,0.981,0.999,3.065,4.545,100.0,,456.51,5.05,1,Replicase polyprotein 1ab
CHEMBL5441878,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(n1)NC(=O)CO2,'=',2612.0,nM,5.58,0.993,1.226,2.307,2.957,100.0,,338.37,2.49,0,Replicase polyprotein 1ab
CHEMBL5442051,Cc1nn(C)cc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',469.0,nM,6.33,0.994,1.145,0.418,0.526,100.0,,418.5,4.25,0,Replicase polyprotein 1ab
CHEMBL5441958,Cc1cn[nH]c1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',8836.0,nM,5.05,0.994,1.27,7.94,9.833,100.0,,404.47,4.24,0,Replicase polyprotein 1ab
CHEMBL5441749,CCn1nccc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'=',892.0,nM,6.05,0.985,1.119,0.738,1.079,100.0,,418.5,4.42,0,Replicase polyprotein 1ab
CHEMBL5441508,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C4(C(N)=O)CC4)c3)cc12)c1ccc2c(c1)OCCO2,'=',1310.0,nM,5.88,0.997,1.176,1.205,1.424,100.0,,473.54,3.38,0,Replicase polyprotein 1ab
CHEMBL5441427,CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)OCCO2,'=',82.0,nM,7.09,0.943,1.255,0.061,0.111,100.0,,462.51,2.67,0,Replicase polyprotein 1ab
CHEMBL5441841,O=C(N[C@@H](Cc1nn[nH]n1)c1ccc(Br)cc1)c1ncnc2[nH]ccc12,'=',1921.0,nM,5.72,0.994,1.143,1.715,2.152,100.0,,413.24,1.95,0,Replicase polyprotein 1ab
CHEMBL5441513,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)Nc3cn(C)nc3O)cc12)c1ccc2c(c1)OCCO2,'=',678.0,nM,6.17,0.987,1.264,0.573,0.803,100.0,,463.5,3.23,0,Replicase polyprotein 1ab
CHEMBL5441495,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCc3ccno3)cc12)c1ccc2c(c1)OCCO2,'=',792.0,nM,6.1,0.996,1.229,0.72,0.871,100.0,,448.48,3.46,0,Replicase polyprotein 1ab
CHEMBL5442161,CNC(=O)c1cc2c(N[C@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,'=',1077.0,nM,5.97,0.998,1.362,1.011,1.148,100.0,,394.44,2.46,0,Replicase polyprotein 1ab
CHEMBL5441615,Cc1[nH]c2ncnc(NC(=O)c3ccncc3)c2c1C,'>',99500.0,nM,,0.564,1.363,,,100.0,Falls Outside The Dose Series,267.29,2.22,0,Replicase polyprotein 1ab
CHEMBL5441578,COc1cccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)c1,'=',21720.0,nM,4.66,0.932,1.118,15.9,29.67,100.0,,340.34,1.91,0,Replicase polyprotein 1ab
CHEMBL5441502,CNC(=O)c1ccc([C@@H](CC(=O)O)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',13392.0,nM,4.87,0.847,1.058,7.864,22.81,100.0,,367.37,1.26,0,Replicase polyprotein 1ab
CHEMBL5442074,O[C@H]1CCCC[C@@H]1Nc1ncnc2[nH]ccc12,'=',55365.0,nM,4.26,0.957,1.366,46.57,65.83,100.0,,232.29,1.67,0,Replicase polyprotein 1ab
CHEMBL5441638,Cc1[nH]c2ncnc(NC(=O)Cc3ccc(Cl)nc3)c2c1C,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,315.76,2.8,0,Replicase polyprotein 1ab
CHEMBL5441928,Cc1[nH]c2ncnc(NC(=O)[C@@H]3CCc4c(Cl)cccc43)c2c1C,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,340.81,3.9,0,Replicase polyprotein 1ab
CHEMBL5441747,O=C(NCSC[C@@H](NC(=O)c1ncnc2[nH]ccc12)C(=O)O)c1ccccc1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,399.43,1.26,0,Replicase polyprotein 1ab
CHEMBL5442078,CCc1coc(Nc2ccc([C@@H](CC(=O)O)NC(=O)c3ncnc4[nH]ccc34)cc2)n1,'=',13886.0,nM,4.86,0.988,1.278,12.1,15.93,100.0,,420.43,3.2,0,Replicase polyprotein 1ab
CHEMBL5441690,Cc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)[nH]n1,'=',2562.0,nM,5.59,0.988,1.262,2.174,3.019,100.0,,404.47,4.24,0,Replicase polyprotein 1ab
CHEMBL5441576,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc4c3CN(C)C4=O)cc12)c1ccc2c(c1)OCCO2,'=',2151.0,nM,5.67,0.974,1.043,1.687,2.744,100.0,,469.55,4.79,0,Replicase polyprotein 1ab
CHEMBL5441467,CCn1ncc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)c1C,'=',905.0,nM,6.04,0.992,1.254,0.79,1.036,100.0,,432.53,4.73,0,Replicase polyprotein 1ab
CHEMBL5441952,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C4CCC4)n3)cc12)c1ccc2c(c1)OCCO2,'=',3916.0,nM,5.41,0.941,0.891,2.691,5.701,100.0,,445.53,4.52,0,Replicase polyprotein 1ab
CHEMBL5442033,CC(C)[C@@H](Nc1ncnc2ccccc12)c1ccc2c(c1)OCCO2,'=',58260.0,nM,4.24,0.925,1.257,45.63,74.38,100.0,,335.41,4.21,0,Replicase polyprotein 1ab
CHEMBL5441388,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,'=',64.0,nM,7.19,0.995,1.355,0.058,0.07,100.0,,443.53,2.68,0,Replicase polyprotein 1ab
CHEMBL5441388,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,'=',52.0,nM,7.28,0.995,1.527,0.048,0.057,100.0,,443.53,2.68,0,Replicase polyprotein 1ab
CHEMBL5441539,CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,'=',75560.0,nM,4.12,0.953,1.365,64.73,88.2,100.0,,461.53,3.28,0,Replicase polyprotein 1ab
CHEMBL5441430,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',24.0,nM,7.62,0.999,1.428,0.023,0.025,100.0,,427.53,2.85,0,Replicase polyprotein 1ab
CHEMBL5441430,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',48.0,nM,7.32,0.995,1.45,0.044,0.052,100.0,,427.53,2.85,0,Replicase polyprotein 1ab
CHEMBL5441835,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC3CCN(C)CC3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',208.0,nM,6.68,0.987,1.102,0.175,0.248,100.0,,510.66,3.31,1,Replicase polyprotein 1ab
CHEMBL5442049,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC3CN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',189.0,nM,6.72,0.991,1.163,0.163,0.219,100.0,,482.61,2.53,0,Replicase polyprotein 1ab
CHEMBL5441689,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',62.0,nM,7.21,0.996,1.635,0.057,0.067,100.0,,463.57,3.53,0,Replicase polyprotein 1ab
CHEMBL5441696,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncnc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',538.0,nM,6.27,0.99,1.041,0.46,0.63,100.0,,448.55,3.94,0,Replicase polyprotein 1ab
CHEMBL5441406,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCO2,'=',181.0,nM,6.74,0.964,1.019,0.133,0.245,100.0,,372.45,2.93,0,Replicase polyprotein 1ab
CHEMBL5441433,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',45.0,nM,7.35,0.97,1.271,0.037,0.055,100.0,,521.65,3.44,1,Replicase polyprotein 1ab
CHEMBL5441819,CC(C)[C@@H](Nc1ncnc(N)c1Cl)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,0.189,0.5,,,100.0,Falls Outside The Dose Series,380.9,3.24,0,Replicase polyprotein 1ab
CHEMBL5441564,CC(C)[C@@H](Nc1ncnc(N2CCCC2)n1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,401.54,3.0,0,Replicase polyprotein 1ab
CHEMBL5442034,CC(C)[C@@H](Nc1cc(N2CCC[C@H]2C(=O)O)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,444.56,3.06,0,Replicase polyprotein 1ab
CHEMBL5441916,CC(C)[C@H](Nc1cc(-n2ccnn2)ncn1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,398.49,2.59,0,Replicase polyprotein 1ab
CHEMBL5442145,CC(C)[C@H](Nc1ncncc1N1CCNCC1)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,415.56,2.42,0,Replicase polyprotein 1ab
CHEMBL5441398,COc1ccc([C@H](Cc2nnn[nH]2)NC(=O)c2ncnc3[nH]ccc23)cc1,'=',349.0,nM,6.46,0.993,1.031,0.306,0.397,100.0,,364.37,1.19,0,Replicase polyprotein 1ab
CHEMBL5441476,CC(C)[C@@H](Nc1ncnc2[nH]cnc12)c1ccc2c(c1)S(=O)(=O)CCC2,'>',99500.0,nM,,0.97,1.206,,,100.0,Falls Outside The Dose Series,371.47,2.88,0,Replicase polyprotein 1ab
CHEMBL5441630,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnn3CC3CC3)cc12)c1ccc2c(c1)OCCO2,'=',3905.0,nM,5.41,0.988,1.242,3.324,4.587,100.0,,444.54,4.81,0,Replicase polyprotein 1ab
CHEMBL5441515,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnn3C3CCC3)cc12)c1ccc2c(c1)OCCO2,'=',5595.0,nM,5.25,0.988,1.13,4.839,6.47,100.0,,444.54,5.13,1,Replicase polyprotein 1ab
CHEMBL5441880,Cc1[nH]c2ncnc(NC(=O)c3ncccc3Cl)c2c1C,'=',60336.0,nM,4.22,0.504,0.5,14.56,250.09,100.0,,301.74,2.88,0,Replicase polyprotein 1ab
CHEMBL2004515,c1nc(-c2ccc3c(c2)OCO3)c2cc[nH]c2n1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,239.23,2.35,0,Replicase polyprotein 1ab
CHEMBL5442137,CC(C)[C@@H](NCc1cccc2[nH]ccc12)c1ccc2c(c1)OCCO2,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,336.44,4.43,0,Replicase polyprotein 1ab
CHEMBL5441763,FC(F)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,'=',22754.0,nM,4.64,0.913,1.217,16.19,31.97,100.0,,332.31,3.15,0,Replicase polyprotein 1ab
CHEMBL5441676,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1cccc(C(F)(F)F)c1,'=',77592.0,nM,4.11,0.944,1.38,65.42,92.03,100.0,,334.35,4.79,0,Replicase polyprotein 1ab
CHEMBL5441604,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)CCCS2(=O)=O,'=',2637.0,nM,5.58,0.991,1.279,2.29,3.036,100.0,,370.48,3.49,0,Replicase polyprotein 1ab
CHEMBL5442127,CCC[C@H](Nc1ncnc2[nH]ccc12)C(=O)O,'>',99500.0,nM,,0.812,1.342,,,100.0,Falls Outside The Dose Series,234.26,1.62,0,Replicase polyprotein 1ab
CHEMBL5442139,O=C(O)[C@@H]1C[C@@H](O)CN1c1ncnc2[nH]ccc12,'>',99500.0,nM,,0.901,1.264,,,100.0,Falls Outside The Dose Series,248.24,-0.02,0,Replicase polyprotein 1ab
CHEMBL5441863,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)CCNC2=O,'=',14959.0,nM,4.83,0.989,1.228,13.13,17.04,100.0,,335.41,3.05,0,Replicase polyprotein 1ab
CHEMBL5442052,c1nc(N[C@@H](c2ccc3c(c2)OCCO3)C2CNC2)c2cc[nH]c2n1,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,337.38,2.1,0,Replicase polyprotein 1ab
CHEMBL5442044,O=C(O)[C@H](CC1CC1)Nc1ncnc2[nH]ccc12,'>',99500.0,nM,,0.112,0.955,,,100.0,Falls Outside The Dose Series,246.27,1.62,0,Replicase polyprotein 1ab
CHEMBL5441656,O=C(O)[C@@H](Nc1ncnc2[nH]ccc12)C1CC1,'=',72010.0,nM,4.14,0.659,1.096,37.49,138.32,100.0,,232.24,1.23,0,Replicase polyprotein 1ab
